iter	Logloss
0	0.6050820265
1	0.5468751827
2	0.505743929
3	0.4777259598
4	0.4510736979
5	0.4429542404
6	0.4315607676
7	0.4144833502
8	0.3982728056
9	0.3915702226
10	0.3816702609
11	0.3791758143
12	0.3755240983
13	0.3697345071
14	0.3592103513
15	0.3522336811
16	0.3453517617
17	0.3385974176
18	0.3317695435
19	0.3293783222
20	0.3248622232
21	0.3199970679
22	0.3160823891
23	0.3106198339
24	0.307988104
25	0.3033312266
26	0.299673069
27	0.2969840729
28	0.2959756223
29	0.2934521886
30	0.2911207462
31	0.2871760979
32	0.2857654594
33	0.2844359118
34	0.2840753887
35	0.2812385788
36	0.2810803716
37	0.2778785157
38	0.2747006216
39	0.2733580995
40	0.2728589909
41	0.2697347767
42	0.2669515096
43	0.2648050685
44	0.2631038049
45	0.2593229374
46	0.2592239837
47	0.2577435613
48	0.2561740989
49	0.2558936844
50	0.2558217762
51	0.2556492925
52	0.2501921968
53	0.2501199688
54	0.249476587
55	0.2493854226
56	0.2492759156
57	0.246693023
58	0.2454011654
59	0.2445591681
60	0.2438304467
61	0.2411331588
62	0.2410864916
63	0.2407537677
64	0.2394131415
65	0.2391213057
66	0.2337805468
67	0.2300940873
68	0.2298324037
69	0.2291572251
70	0.2271448238
71	0.2268433028
72	0.2241027741
73	0.2198187091
74	0.2197856789
75	0.2195572082
76	0.2191482818
77	0.218971024
78	0.2156561663
79	0.2121061222
80	0.2117249266
81	0.2093615503
82	0.2090595497
83	0.2075449778
84	0.2067465411
85	0.2066577066
86	0.2041472475
87	0.2017563003
88	0.200475727
89	0.1987749659
90	0.196414148
91	0.1963720036
92	0.1945800781
93	0.1922354784
94	0.1917443418
95	0.1905754912
96	0.1897923475
97	0.1879898574
98	0.1876545067
99	0.1858394417
100	0.1851338141
101	0.1845417822
102	0.1836822304
103	0.1832122689
104	0.1831600737
105	0.182398916
106	0.1796856498
107	0.1777172203
108	0.176890002
109	0.176397769
110	0.1745877066
111	0.1744945777
112	0.1742603736
113	0.1733127754
114	0.1716722842
115	0.1693803365
116	0.16871964
117	0.1684841453
118	0.168042577
119	0.1664489358
120	0.1660685282
121	0.1657570936
122	0.1643251773
123	0.1641140784
124	0.1637589917
125	0.163271647
126	0.162873685
127	0.1626053428
128	0.1621132925
129	0.161713149
130	0.1609284864
131	0.1607416461
132	0.1603324113
133	0.1587166472
134	0.1581702432
135	0.1574555129
136	0.1566194432
137	0.156311355
138	0.1550326776
139	0.1541248025
140	0.1533798515
141	0.1532020797
142	0.1530438497
143	0.1515029176
144	0.1510468443
145	0.1506652375
146	0.1493011292
147	0.1490575139
148	0.1474908954
149	0.1467101046
150	0.1455816623
151	0.1448531236
152	0.1439014138
153	0.1429243716
154	0.1416229888
155	0.1404233921
156	0.1403992362
157	0.1400774082
158	0.1395260588
159	0.1391468162
160	0.1379334912
161	0.1367859526
162	0.1361913395
163	0.135170988
164	0.1337906272
165	0.133696676
166	0.1335562974
167	0.1330902648
168	0.1328007361
169	0.1313482045
170	0.1309955163
171	0.1296948987
172	0.1290027367
173	0.1289870325
174	0.1285168539
175	0.1279674347
176	0.1269434398
177	0.1267287431
178	0.1256008491
179	0.125222623
180	0.1244773179
181	0.1235164711
182	0.1228435882
183	0.1222984748
184	0.1216558354
185	0.1205812214
186	0.1202516384
187	0.11933787
188	0.1185439904
189	0.1177106617
190	0.1172591112
191	0.1169214534
192	0.1168084858
193	0.1164524741
194	0.1162841477
195	0.1162715615
196	0.1152865473
197	0.1150383293
198	0.1148095274
199	0.1141392942
200	0.1136838947
201	0.1129843318
202	0.11293361
203	0.1127533827
204	0.112500699
205	0.1123429258
206	0.1122877726
207	0.112180904
208	0.1117131467
209	0.1114852928
210	0.1113718455
211	0.1109607148
212	0.110708705
213	0.1104579629
214	0.1101068051
215	0.1096628041
216	0.1089202515
217	0.1078007521
218	0.1073849844
219	0.1070851994
220	0.1069803295
221	0.1066395651
222	0.1062922906
223	0.1061926516
224	0.1060683656
225	0.1057125937
226	0.1050380318
227	0.1049628572
228	0.1048068087
229	0.1046901634
230	0.1045318878
231	0.1042220978
232	0.1041249943
233	0.1038211663
234	0.1035975039
235	0.1025629101
236	0.1025112746
237	0.1024624259
238	0.1018354222
239	0.1015452082
240	0.1013150244
241	0.1012499347
242	0.1007306561
243	0.1005012147
244	0.1001753893
245	0.0999222487
246	0.09940145116
247	0.09892919392
248	0.09861613748
249	0.09833283339
250	0.09828409892
251	0.09814281806
252	0.09806165867
253	0.09790534745
254	0.09789108231
255	0.09788469783
256	0.09707559369
257	0.0970400736
258	0.09698999142
259	0.09652488389
260	0.09616545717
261	0.09608646781
262	0.09608028892
263	0.09562706519
264	0.09498909134
265	0.09493595968
266	0.0947502673
267	0.09474616136
268	0.09469305255
269	0.09453956239
270	0.0942889402
271	0.09424905149
272	0.09376734317
273	0.09362494303
274	0.09322964217
275	0.09306154422
276	0.09240742643
277	0.09211500248
278	0.09156000971
279	0.0914357351
280	0.09096097661
281	0.09076244103
282	0.0903273257
283	0.0901557614
284	0.08986592436
285	0.08970644945
286	0.08969784354
287	0.08967714824
288	0.08938712845
289	0.08921527291
290	0.08881771065
291	0.08876923316
292	0.08856654024
293	0.08846224711
294	0.08820378423
295	0.08809399748
296	0.0879807615
